予約ID,顧客ID,部屋番号,宿泊人数,チェックイン日,チェックアウト日,チェックイン時間,チェックアウト時間,宿泊プラン,予約経路,客層,シーズン区分
R02273,c1249,215,2,2025-07-30,2025-08-01,16:00,10:00,朝食付き,OTA,観光,通常期
R02274,c1407,212,1,2025-07-30,2025-08-02,17:00,8:00,朝食付き,OTA,ビジネス,通常期
R02275,c0812,211,2,2025-07-30,2025-08-02,15:00,10:00,朝食付き,OTA,観光,通常期
R02276,c0064,209,2,2025-07-30,2025-07-31,17:00,9:00,素泊まり,OTA,観光,通常期
R02277,c1901,217,1,2025-07-30,2025-08-02,17:00,8:00,素泊まり,OTA,ビジネス,通常期
R02278,c0438,216,1,2025-07-30,2025-07-31,17:00,10:00,素泊まり,OTA,その他,通常期
R02279,c0782,213,2,2025-07-30,2025-07-31,20:00,9:00,素泊まり,直接,その他,通常期
R02280,c0483,214,1,2025-07-30,2025-08-01,17:00,9:00,2食付き,OTA,観光,通常期
R02281,c0056,203,1,2025-07-31,2025-08-04,17:00,8:00,朝食付き,OTA,ビジネス,通常期
R02282,c1638,207,2,2025-07-31,2025-08-01,17:00,8:00,素泊まり,直接,ビジネス,通常期
R02283,c0145,208,2,2025-07-31,2025-08-02,16:00,8:00,素泊まり,OTA,登山,通常期
R02284,c0948,211,1,2025-07-31,2025-08-02,17:00,7:00,2食付き,OTA,ビジネス,通常期
R02285,c1561,206,2,2025-07-31,2025-08-04,17:00,8:00,素泊まり,OTA,ビジネス,通常期
R02286,c0421,101,1,2025-07-31,2025-08-01,17:00,7:00,素泊まり,OTA,登山,通常期
R02287,c1396,209,1,2025-07-31,2025-08-01,20:00,9:00,素泊まり,直接,その他,通常期
R02288,c1654,213,1,2025-07-31,2025-08-01,17:00,7:00,素泊まり,OTA,登山,通常期
R02289,c0202,217,1,2025-07-31,2025-08-03,17:00,10:00,2食付き,OTA,観光,通常期
R02290,c1978,210,1,2025-07-31,2025-08-04,17:00,8:00,素泊まり,OTA,ビジネス,通常期
R02291,c0295,205,2,2025-07-31,2025-08-02,17:00,8:00,朝食付き,OTA,ビジネス,通常期
R02292,c0895,215,2,2025-07-31,2025-08-01,16:00,10:00,素泊まり,OTA,登山,通常期
R02293,c0943,101,2,2025-08-01,2025-08-02,15:00,10:00,素泊まり,OTA,観光,通常期
R02294,c1640,212,2,2025-08-01,2025-08-02,15:00,7:00,素泊まり,OTA,登山,通常期
R02295,c1295,209,1,2025-08-01,2025-08-02,17:00,6:00,素泊まり,OTA,登山,通常期
R02296,c1075,216,2,2025-08-01,2025-08-03,17:00,5:00,素泊まり,OTA,登山,通常期
R02297,c0638,211,2,2025-08-01,2025-08-02,19:00,10:00,2食付き,OTA,遠征,通常期
R02298,c1948,205,1,2025-08-01,2025-08-02,15:00,10:00,素泊まり,OTA,観光,通常期
R02299,c0407,201,2,2025-08-01,2025-08-02,15:00,10:00,素泊まり,OTA,登山,通常期
R02300,c1233,202,1,2025-08-01,2025-08-03,17:00,10:00,2食付き,OTA,観光,通常期
R02301,c0292,208,1,2025-08-01,2025-08-03,16:00,10:00,朝食付き,OTA,観光,通常期
R02302,c2000,215,2,2025-08-01,2025-08-04,18:00,8:00,朝食付き,直接,ビジネス,通常期
R02303,c0136,213,2,2025-08-01,2025-08-03,18:00,8:00,2食付き,OTA,ビジネス,通常期
R02304,c0427,207,1,2025-08-01,2025-08-04,18:00,7:00,朝食付き,OTA,ビジネス,通常期
R02305,c1441,206,1,2025-08-01,2025-08-03,16:00,10:00,2食付き,OTA,登山,通常期
R02306,c0679,207,2,2025-08-02,2025-08-06,17:00,7:00,素泊まり,OTA,ビジネス,通常期
R02307,c1751,209,2,2025-08-02,2025-08-03,18:00,8:00,素泊まり,直接,遠征,通常期
R02308,c0956,208,1,2025-08-02,2025-08-05,17:00,8:00,朝食付き,直接,ビジネス,通常期
R02309,c0708,211,2,2025-08-02,2025-08-04,17:00,7:00,素泊まり,OTA,登山,通常期
R02310,c0236,202,2,2025-08-02,2025-08-04,19:00,10:00,2食付き,OTA,遠征,通常期
R02311,c0829,217,1,2025-08-02,2025-08-03,17:00,7:00,素泊まり,OTA,ビジネス,通常期
R02312,c0792,215,1,2025-08-02,2025-08-03,15:00,7:00,朝食付き,OTA,登山,通常期
R02313,c0264,214,1,2025-08-02,2025-08-04,18:00,8:00,素泊まり,OTA,ビジネス,通常期
R02314,c1747,203,2,2025-08-02,2025-08-04,17:00,7:00,2食付き,OTA,ビジネス,通常期
R02315,c0852,210,2,2025-08-02,2025-08-04,17:00,6:00,素泊まり,OTA,登山,通常期
R02316,c0286,206,2,2025-08-02,2025-08-06,18:00,8:00,素泊まり,直接,ビジネス,通常期
R02317,c0263,205,1,2025-08-02,2025-08-04,15:00,5:00,素泊まり,OTA,登山,通常期
R02318,c1486,201,2,2025-08-02,2025-08-03,21:00,9:00,素泊まり,OTA,その他,通常期
R02319,c0972,213,2,2025-08-02,2025-08-04,16:00,10:00,朝食付き,直接,観光,通常期
R02320,c1264,101,1,2025-08-02,2025-08-05,18:00,8:00,素泊まり,直接,ビジネス,通常期
R02321,c0739,212,2,2025-08-02,2025-08-04,15:00,8:00,素泊まり,OTA,登山,通常期
R02322,c1540,216,1,2025-08-02,2025-08-06,17:00,7:00,朝食付き,直接,ビジネス,通常期
R02323,c1310,212,1,2025-08-03,2025-08-06,18:00,8:00,素泊まり,OTA,ビジネス,通常期
R02324,c1900,205,2,2025-08-03,2025-08-05,15:00,10:00,,直接,観光,通常期
R02325,c1704,207,2,2025-08-04,2025-08-07,18:00,7:00,朝食付き,OTA,ビジネス,通常期
R02326,c1865,209,1,2025-08-04,2025-08-06,17:00,8:00,素泊まり,直接,登山,通常期
R02327,c0775,210,1,2025-08-04,2025-08-06,17:00,7:00,素泊まり,直接,ビジネス,通常期
R02328,c1427,203,2,2025-08-04,2025-08-07,15:00,9:00,朝食付き,直接,観光,通常期
R02329,c0593,212,1,2025-08-04,2025-08-06,15:00,9:00,素泊まり,OTA,観光,通常期
R02330,c0107,216,2,2025-08-04,2025-08-08,18:00,8:00,素泊まり,OTA,ビジネス,通常期
R02331,c0665,213,1,2025-08-04,2025-08-08,17:00,7:00,素泊まり,OTA,ビジネス,通常期
R02332,c1639,205,1,2025-08-04,2025-08-08,18:00,8:00,素泊まり,直接,ビジネス,通常期
R02333,c1293,202,2,2025-08-04,2025-08-07,16:00,9:00,素泊まり,OTA,観光,通常期
R02334,c0005,206,1,2025-08-04,2025-08-08,17:00,8:00,朝食付き,OTA,ビジネス,通常期
R02335,c0368,217,1,2025-08-04,2025-08-05,15:00,10:00,,OTA,登山,通常期
R02336,c1791,215,2,2025-08-04,2025-08-06,17:00,7:00,素泊まり,OTA,ビジネス,通常期
R02337,c0345,214,2,2025-08-05,2025-08-07,18:00,10:00,素泊まり,OTA,遠征,通常期
R02338,c0646,216,1,2025-08-05,2025-08-07,17:00,8:00,素泊まり,直接,ビジネス,通常期
R02339,c1829,213,1,2025-08-05,2025-08-06,15:00,5:00,2食付き,OTA,登山,通常期
R02340,c0065,212,2,2025-08-05,2025-08-06,15:00,6:00,朝食付き,直接,登山,通常期
R02341,c1342,209,1,2025-08-05,2025-08-06,18:00,9:00,素泊まり,直接,その他,通常期
R02342,c0629,211,1,2025-08-05,2025-08-06,18:00,8:00,朝食付き,OTA,遠征,通常期
R02343,c1993,203,1,2025-08-05,2025-08-07,17:00,8:00,素泊まり,直接,ビジネス,通常期
R02344,c0444,215,2,2025-08-05,2025-08-08,18:00,8:00,朝食付き,直接,ビジネス,通常期
R02345,c1196,210,2,2025-08-05,2025-08-08,18:00,8:00,朝食付き,直接,ビジネス,通常期
R02346,c1373,208,2,2025-08-05,2025-08-06,18:00,7:00,素泊まり,OTA,ビジネス,通常期
R02347,c0739,205,1,2025-08-05,2025-08-06,16:00,10:00,素泊まり,OTA,登山,通常期
R02348,c0786,101,2,2025-08-05,2025-08-07,16:00,5:00,素泊まり,直接,登山,通常期
R02349,c0323,203,2,2025-08-06,2025-08-07,18:00,8:00,朝食付き,直接,ビジネス,通常期
R02350,c0969,216,2,2025-08-06,2025-08-07,17:00,8:00,素泊まり,直接,登山,通常期
R02351,c1593,208,2,2025-08-06,2025-08-09,17:00,10:00,素泊まり,OTA,観光,通常期
R02352,c1412,214,2,2025-08-06,2025-08-09,17:00,8:00,素泊まり,OTA,ビジネス,通常期
R02353,c1449,215,2,2025-08-06,2025-08-08,18:00,8:00,素泊まり,OTA,遠征,通常期
R02354,c0938,207,2,2025-08-06,2025-08-08,15:00,10:00,朝食付き,直接,観光,通常期
R02355,c0842,210,2,2025-08-06,2025-08-07,16:00,7:00,素泊まり,OTA,登山,通常期
R02356,c1497,201,1,2025-08-06,2025-08-09,17:00,9:00,朝食付き,直接,観光,通常期
R02357,c0460,217,1,2025-08-06,2025-08-09,15:00,9:00,朝食付き,直接,観光,通常期
R02358,c1019,211,1,2025-08-06,2025-08-07,17:00,8:00,素泊まり,直接,登山,通常期
R02359,c1257,101,2,2025-08-06,2025-08-10,17:00,7:00,2食付き,直接,ビジネス,通常期
R02360,c0426,209,1,2025-08-06,2025-08-07,21:00,9:00,素泊まり,直接,その他,通常期
R02361,c1584,206,2,2025-08-07,2025-08-10,18:00,7:00,朝食付き,直接,ビジネス,通常期
R02362,c0706,207,2,2025-08-07,2025-08-10,17:00,7:00,素泊まり,OTA,ビジネス,通常期
R02363,c1652,215,2,2025-08-07,2025-08-08,16:00,6:00,,OTA,登山,通常期
R02364,c1866,210,2,2025-08-07,2025-08-10,17:00,7:00,素泊まり,OTA,ビジネス,通常期
R02365,c0844,205,1,2025-08-07,2025-08-08,17:00,10:00,朝食付き,OTA,観光,通常期
R02366,c0717,217,1,2025-08-07,2025-08-08,17:00,7:00,2食付き,直接,ビジネス,通常期
R02367,c1560,101,1,2025-08-07,2025-08-08,17:00,9:00,素泊まり,OTA,登山,通常期
R02368,c0988,212,1,2025-08-07,2025-08-10,17:00,8:00,2食付き,OTA,ビジネス,通常期
R02369,c1416,216,2,2025-08-07,2025-08-08,18:00,7:00,2食付き,OTA,ビジネス,通常期
R02370,c0515,209,1,2025-08-07,2025-08-08,18:00,8:00,朝食付き,直接,ビジネス,通常期
R02371,c1842,213,1,2025-08-07,2025-08-10,17:00,7:00,素泊まり,直接,ビジネス,通常期
R02372,c0068,203,1,2025-08-07,2025-08-11,18:00,7:00,素泊まり,OTA,ビジネス,通常期
R02373,c0411,211,2,2025-08-08,2025-08-09,19:00,8:00,素泊まり,OTA,遠征,通常期
R02374,c0123,213,1,2025-08-08,2025-08-10,16:00,9:00,素泊まり,直接,登山,通常期
R02375,c1212,210,1,2025-08-08,2025-08-09,18:00,7:00,素泊まり,OTA,ビジネス,通常期
R02376,c1438,207,1,2025-08-08,2025-08-09,15:00,10:00,朝食付き,直接,観光,通常期
R02377,c0278,101,2,2025-08-08,2025-08-10,17:00,8:00,2食付き,OTA,ビジネス,通常期
R02378,c0593,215,1,2025-08-08,2025-08-09,18:00,10:00,朝食付き,OTA,遠征,通常期
R02379,c1913,216,1,2025-08-08,2025-08-10,17:00,7:00,素泊まり,OTA,登山,通常期
R02380,c1762,202,2,2025-08-08,2025-08-10,19:00,10:00,素泊まり,OTA,遠征,通常期
R02381,c1347,212,2,2025-08-08,2025-08-09,17:00,8:00,素泊まり,OTA,ビジネス,通常期
R02382,c0582,214,1,2025-08-08,2025-08-10,15:00,9:00,朝食付き,直接,観光,通常期
R02383,c0888,201,1,2025-08-08,2025-08-11,17:00,8:00,素泊まり,OTA,ビジネス,通常期
R02384,c1552,203,2,2025-08-08,2025-08-10,16:00,10:00,素泊まり,直接,観光,通常期
R02385,c1657,208,1,2025-08-08,2025-08-09,15:00,10:00,素泊まり,OTA,登山,通常期
R02386,c0736,205,2,2025-08-09,2025-08-12,17:00,10:00,朝食付き,OTA,観光,通常期
R02387,c1288,215,2,2025-08-09,2025-08-11,17:00,7:00,素泊まり,OTA,ビジネス,通常期
R02388,c1816,216,1,2025-08-09,2025-08-13,17:00,8:00,素泊まり,OTA,ビジネス,通常期
R02389,c1339,203,2,2025-08-09,2025-08-10,18:00,7:00,素泊まり,直接,ビジネス,通常期
R02390,c0603,214,2,2025-08-09,2025-08-13,17:00,8:00,素泊まり,直接,ビジネス,通常期
R02391,c1049,201,2,2025-08-09,2025-08-13,18:00,7:00,素泊まり,OTA,ビジネス,通常期
R02392,c1377,101,2,2025-08-09,2025-08-10,17:00,8:00,素泊まり,OTA,ビジネス,通常期
R02393,c0835,208,1,2025-08-09,2025-08-10,16:00,6:00,素泊まり,直接,登山,通常期
R02394,c1131,210,1,2025-08-09,2025-08-10,16:00,10:00,素泊まり,直接,登山,通常期
R02395,c1078,209,1,2025-08-09,2025-08-11,15:00,10:00,朝食付き,OTA,観光,通常期
R02396,c1539,213,2,2025-08-09,2025-08-11,18:00,8:00,素泊まり,直接,遠征,通常期
R02397,c0711,206,1,2025-08-09,2025-08-10,16:00,5:00,素泊まり,OTA,登山,通常期
R02398,c1900,217,1,2025-08-09,2025-08-11,15:00,7:00,2食付き,OTA,登山,通常期
R02399,c1917,212,2,2025-08-09,2025-08-10,18:00,9:00,素泊まり,OTA,遠征,通常期
R02400,c1898,202,1,2025-08-09,2025-08-10,17:00,10:00,朝食付き,直接,観光,通常期
R02401,c0675,211,1,2025-08-09,2025-08-12,17:00,8:00,2食付き,OTA,ビジネス,通常期
R02402,c0840,207,2,2025-08-09,2025-08-10,18:00,10:00,素泊まり,OTA,遠征,通常期
R02403,c1381,213,1,2025-08-10,2025-08-11,17:00,5:00,,OTA,登山,通常期
R02404,c1144,217,1,2025-08-10,2025-08-13,18:00,7:00,朝食付き,直接,ビジネス,通常期
R02405,c1180,208,1,2025-08-11,2025-08-15,18:00,7:00,2食付き,OTA,ビジネス,通常期
R02406,c0627,214,1,2025-08-11,2025-08-14,18:00,8:00,朝食付き,OTA,ビジネス,通常期
R02407,c0611,101,2,2025-08-11,2025-08-12,18:00,8:00,朝食付き,直接,ビジネス,通常期
R02408,c0796,211,2,2025-08-11,2025-08-14,16:00,9:00,朝食付き,OTA,観光,通常期
R02409,c0818,205,2,2025-08-11,2025-08-15,18:00,8:00,素泊まり,直接,ビジネス,通常期
R02410,c0120,216,1,2025-08-11,2025-08-12,16:00,9:00,素泊まり,OTA,観光,通常期
R02411,c0330,217,2,2025-08-11,2025-08-13,18:00,9:00,朝食付き,OTA,遠征,通常期
R02412,c1089,206,2,2025-08-11,2025-08-15,17:00,8:00,2食付き,OTA,ビジネス,通常期
R02413,c1571,215,1,2025-08-11,2025-08-13,18:00,7:00,素泊まり,OTA,ビジネス,通常期
R02414,c1930,207,2,2025-08-11,2025-08-12,16:00,9:00,朝食付き,直接,観光,通常期
R02415,c1901,209,1,2025-08-11,2025-08-14,18:00,8:00,素泊まり,OTA,ビジネス,通常期
R02416,c0126,203,1,2025-08-11,2025-08-13,15:00,6:00,素泊まり,OTA,登山,通常期
R02417,c1738,210,1,2025-08-12,2025-08-14,18:00,8:00,素泊まり,OTA,ビジネス,通常期
R02418,c1868,212,1,2025-08-12,2025-08-13,17:00,10:00,素泊まり,直接,観光,通常期
R02419,c0322,215,1,2025-08-12,2025-08-13,18:00,7:00,素泊まり,直接,ビジネス,通常期
R02420,c1854,213,1,2025-08-12,2025-08-13,18:00,8:00,朝食付き,OTA,ビジネス,通常期
R02421,c1709,203,1,2025-08-12,2025-08-14,18:00,8:00,朝食付き,OTA,ビジネス,通常期
R02422,c0322,101,1,2025-08-12,2025-08-13,17:00,9:00,素泊まり,直接,その他,通常期
R02423,c1376,209,1,2025-08-12,2025-08-14,15:00,6:00,素泊まり,OTA,登山,通常期
R02424,c0998,201,1,2025-08-12,2025-08-14,17:00,8:00,朝食付き,OTA,ビジネス,通常期
R02425,c0378,205,2,2025-08-12,2025-08-13,17:00,8:00,素泊まり,直接,ビジネス,通常期
R02426,c0725,216,2,2025-08-12,2025-08-14,17:00,8:00,,OTA,登山,通常期
R02427,c0705,202,1,2025-08-12,2025-08-15,15:00,9:00,素泊まり,OTA,観光,通常期
R02428,c0155,207,2,2025-08-12,2025-08-16,18:00,8:00,2食付き,OTA,ビジネス,通常期
R02429,c0243,214,2,2025-08-13,2025-08-16,16:00,9:00,朝食付き,OTA,観光,最繁忙期
R02430,c1995,215,2,2025-08-13,2025-08-16,17:00,9:00,2食付き,OTA,観光,最繁忙期
R02431,c1328,212,2,2025-08-13,2025-08-15,16:00,9:00,朝食付き,OTA,観光,最繁忙期
R02432,c0977,101,1,2025-08-13,2025-08-16,15:00,9:00,2食付き,OTA,観光,最繁忙期
R02433,c1383,217,1,2025-08-13,2025-08-16,17:00,9:00,素泊まり,直接,観光,最繁忙期
R02434,c0876,205,1,2025-08-13,2025-08-15,18:00,9:00,朝食付き,OTA,遠征,最繁忙期
R02435,c0319,202,1,2025-08-13,2025-08-14,17:00,10:00,素泊まり,直接,観光,最繁忙期
R02436,c0452,203,2,2025-08-13,2025-08-16,17:00,10:00,朝食付き,直接,観光,最繁忙期
R02437,c1923,208,1,2025-08-13,2025-08-14,17:00,10:00,素泊まり,直接,観光,最繁忙期
R02438,c0150,216,1,2025-08-13,2025-08-14,17:00,9:00,2食付き,OTA,観光,最繁忙期
R02439,c1989,213,2,2025-08-13,2025-08-16,17:00,10:00,朝食付き,直接,観光,最繁忙期
R02440,c1399,201,2,2025-08-13,2025-08-15,15:00,10:00,朝食付き,直接,観光,最繁忙期
R02441,c0563,206,1,2025-08-13,2025-08-15,15:00,9:00,素泊まり,直接,観光,最繁忙期
R02442,c1774,209,1,2025-08-13,2025-08-14,19:00,9:00,素泊まり,OTA,遠征,最繁忙期
R02443,c0708,207,1,2025-08-13,2025-08-14,16:00,9:00,2食付き,直接,観光,最繁忙期
R02444,c1257,210,2,2025-08-13,2025-08-14,19:00,10:00,素泊まり,直接,その他,最繁忙期
R02445,c0571,212,2,2025-08-14,2025-08-16,17:00,10:00,朝食付き,直接,観光,最繁忙期
R02446,c1964,207,2,2025-08-14,2025-08-15,19:00,9:00,朝食付き,OTA,遠征,最繁忙期
R02447,c0225,209,1,2025-08-14,2025-08-15,19:00,10:00,素泊まり,直接,その他,最繁忙期
R02448,c0368,206,1,2025-08-14,2025-08-16,15:00,10:00,2食付き,OTA,観光,最繁忙期
R02449,c0284,205,1,2025-08-14,2025-08-16,18:00,9:00,朝食付き,OTA,遠征,最繁忙期
R02450,c1613,211,1,2025-08-14,2025-08-16,17:00,10:00,2食付き,直接,観光,最繁忙期
R02451,c1010,214,2,2025-08-14,2025-08-17,17:00,9:00,素泊まり,直接,観光,最繁忙期
R02452,c0050,208,1,2025-08-14,2025-08-15,17:00,10:00,朝食付き,直接,観光,最繁忙期
R02453,c1940,215,1,2025-08-14,2025-08-15,18:00,9:00,素泊まり,OTA,遠征,最繁忙期
R02454,c1431,203,2,2025-08-14,2025-08-17,17:00,9:00,朝食付き,OTA,観光,最繁忙期
R02455,c0810,210,1,2025-08-14,2025-08-16,19:00,9:00,朝食付き,OTA,遠征,最繁忙期
R02456,c0284,202,1,2025-08-14,2025-08-15,17:00,10:00,,直接,観光,最繁忙期
R02457,c0795,216,2,2025-08-14,2025-08-15,21:00,10:00,素泊まり,直接,その他,最繁忙期
R02458,c1181,101,2,2025-08-14,2025-08-15,18:00,8:00,,OTA,遠征,最繁忙期
R02459,c1429,201,1,2025-08-14,2025-08-15,19:00,9:00,朝食付き,OTA,遠征,最繁忙期
R02460,c0050,217,2,2025-08-14,2025-08-16,19:00,9:00,2食付き,OTA,遠征,最繁忙期
R02461,c1274,213,2,2025-08-15,2025-08-18,15:00,9:00,2食付き,直接,観光,最繁忙期
R02462,c1823,208,1,2025-08-15,2025-08-18,15:00,10:00,素泊まり,OTA,観光,最繁忙期
R02463,c1087,215,1,2025-08-15,2025-08-17,19:00,8:00,素泊まり,OTA,遠征,最繁忙期
R02464,c0126,101,2,2025-08-15,2025-08-18,17:00,9:00,素泊まり,OTA,観光,最繁忙期
R02465,c1408,210,1,2025-08-15,2025-08-17,16:00,10:00,2食付き,直接,観光,最繁忙期
R02466,c0978,217,2,2025-08-15,2025-08-18,17:00,9:00,素泊まり,OTA,観光,最繁忙期
R02467,c1889,203,2,2025-08-15,2025-08-16,15:00,9:00,朝食付き,直接,観光,最繁忙期
R02468,c1125,205,2,2025-08-15,2025-08-17,16:00,9:00,朝食付き,OTA,観光,最繁忙期
R02469,c0830,211,1,2025-08-15,2025-08-16,18:00,10:00,素泊まり,直接,その他,最繁忙期
R02470,c1637,201,2,2025-08-15,2025-08-16,15:00,10:00,朝食付き,直接,観光,最繁忙期
R02471,c1068,202,1,2025-08-15,2025-08-17,16:00,10:00,朝食付き,OTA,観光,最繁忙期
R02472,c0682,212,1,2025-08-15,2025-08-16,16:00,9:00,朝食付き,OTA,観光,最繁忙期
R02473,c0901,206,1,2025-08-15,2025-08-18,17:00,9:00,朝食付き,OTA,観光,最繁忙期
R02474,c1351,207,1,2025-08-15,2025-08-16,15:00,9:00,素泊まり,直接,観光,最繁忙期
R02475,c1668,214,2,2025-08-15,2025-08-16,19:00,9:00,素泊まり,直接,その他,最繁忙期
R02476,c0415,209,1,2025-08-15,2025-08-17,17:00,9:00,素泊まり,OTA,観光,最繁忙期
R02477,c0881,216,1,2025-08-15,2025-08-16,15:00,10:00,素泊まり,OTA,観光,最繁忙期
R02478,c1061,213,2,2025-08-16,2025-08-18,17:00,9:00,素泊まり,直接,観光,最繁忙期
R02479,c0016,212,2,2025-08-16,2025-08-17,15:00,10:00,2食付き,OTA,観光,最繁忙期
R02480,c0342,216,2,2025-08-16,2025-08-17,19:00,8:00,朝食付き,OTA,遠征,最繁忙期
R02481,c0288,203,2,2025-08-16,2025-08-19,15:00,9:00,2食付き,OTA,観光,最繁忙期
R02482,c0907,101,1,2025-08-16,2025-08-18,18:00,8:00,朝食付き,直接,遠征,最繁忙期
R02483,c0595,211,2,2025-08-16,2025-08-17,17:00,10:00,素泊まり,直接,観光,最繁忙期
R02484,c1417,214,2,2025-08-16,2025-08-17,19:00,10:00,朝食付き,OTA,遠征,最繁忙期
R02485,c1194,210,2,2025-08-16,2025-08-19,17:00,10:00,2食付き,OTA,観光,最繁忙期
R02486,c0933,209,2,2025-08-16,2025-08-19,16:00,10:00,朝食付き,OTA,観光,最繁忙期
R02487,c0036,207,2,2025-08-16,2025-08-18,18:00,8:00,素泊まり,OTA,遠征,最繁忙期
R02488,c1599,205,2,2025-08-16,2025-08-17,18:00,10:00,素泊まり,直接,その他,最繁忙期
R02489,c0500,208,1,2025-08-16,2025-08-17,18:00,9:00,素泊まり,直接,その他,最繁忙期
R02490,c0686,206,2,2025-08-16,2025-08-18,16:00,9:00,朝食付き,OTA,観光,最繁忙期
R02491,c0142,217,2,2025-08-16,2025-08-17,16:00,9:00,朝食付き,直接,観光,最繁忙期
R02492,c0715,215,1,2025-08-16,2025-08-17,17:00,9:00,素泊まり,直接,その他,最繁忙期
R02493,c0653,202,2,2025-08-16,2025-08-18,19:00,10:00,2食付き,OTA,遠征,最繁忙期
R02494,c1169,201,2,2025-08-16,2025-08-18,19:00,8:00,朝食付き,直接,遠征,最繁忙期
R02495,c1893,202,2,2025-08-17,2025-08-20,18:00,7:00,2食付き,OTA,ビジネス,通常期
R02496,c1931,206,2,2025-08-17,2025-08-20,17:00,7:00,素泊まり,直接,ビジネス,通常期
R02497,c0636,205,2,2025-08-18,2025-08-20,16:00,7:00,素泊まり,OTA,登山,通常期
R02498,c0071,217,1,2025-08-18,2025-08-20,18:00,7:00,,直接,ビジネス,通常期
R02499,c0036,208,2,2025-08-18,2025-08-19,17:00,8:00,朝食付き,直接,ビジネス,通常期
R02500,c0235,215,2,2025-08-18,2025-08-21,18:00,7:00,2食付き,OTA,ビジネス,通常期
R02501,c1343,211,1,2025-08-18,2025-08-19,17:00,7:00,素泊まり,OTA,ビジネス,通常期
R02502,c0078,206,1,2025-08-18,2025-08-19,15:00,5:00,2食付き,直接,登山,通常期
R02503,c1658,216,2,2025-08-18,2025-08-19,15:00,10:00,朝食付き,OTA,観光,通常期
R02504,c0133,203,2,2025-08-18,2025-08-19,15:00,9:00,朝食付き,OTA,観光,通常期
R02505,c0102,209,2,2025-08-18,2025-08-19,17:00,10:00,素泊まり,OTA,登山,通常期
R02506,c0349,212,1,2025-08-18,2025-08-20,19:00,8:00,素泊まり,OTA,遠征,通常期
R02507,c0715,214,2,2025-08-18,2025-08-19,15:00,10:00,素泊まり,OTA,登山,通常期
R02508,c0452,202,1,2025-08-18,2025-08-20,16:00,5:00,朝食付き,OTA,登山,通常期
R02509,c1382,217,1,2025-08-19,2025-08-20,15:00,7:00,,OTA,登山,通常期
R02510,c0286,214,1,2025-08-19,2025-08-21,18:00,10:00,素泊まり,OTA,遠征,通常期
R02511,c0836,211,2,2025-08-19,2025-08-20,18:00,10:00,素泊まり,直接,その他,通常期
R02512,c0202,207,2,2025-08-19,2025-08-20,16:00,8:00,素泊まり,OTA,登山,通常期
R02513,c0838,212,1,2025-08-19,2025-08-20,17:00,9:00,素泊まり,OTA,登山,通常期
R02514,c0813,205,1,2025-08-19,2025-08-22,17:00,10:00,素泊まり,OTA,観光,通常期
R02515,c1055,206,1,2025-08-19,2025-08-22,15:00,9:00,朝食付き,OTA,観光,通常期
R02516,c0666,216,1,2025-08-19,2025-08-21,19:00,8:00,2食付き,OTA,遠征,通常期
R02517,c0652,209,1,2025-08-19,2025-08-20,16:00,7:00,素泊まり,直接,登山,通常期
R02518,c1236,215,2,2025-08-19,2025-08-23,18:00,8:00,素泊まり,直接,ビジネス,通常期
R02519,c1881,101,2,2025-08-19,2025-08-21,18:00,7:00,素泊まり,OTA,ビジネス,通常期
R02520,c0144,210,1,2025-08-19,2025-08-21,16:00,10:00,朝食付き,直接,観光,通常期
R02521,c0904,210,1,2025-08-20,2025-08-22,16:00,7:00,朝食付き,OTA,登山,通常期
R02522,c0740,213,1,2025-08-20,2025-08-22,17:00,8:00,,OTA,登山,通常期
R02523,c1942,209,2,2025-08-20,2025-08-22,19:00,10:00,朝食付き,直接,遠征,通常期
R02524,c1316,205,1,2025-08-20,2025-08-22,17:00,8:00,2食付き,OTA,登山,通常期
R02525,c1298,211,1,2025-08-20,2025-08-21,15:00,9:00,朝食付き,直接,観光,通常期
R02526,c1985,101,1,2025-08-20,2025-08-23,15:00,10:00,素泊まり,OTA,観光,通常期
R02527,c0836,214,1,2025-08-20,2025-08-22,18:00,8:00,素泊まり,OTA,遠征,通常期
R02528,c1951,203,2,2025-08-20,2025-08-21,19:00,8:00,2食付き,直接,遠征,通常期
R02529,c0868,201,1,2025-08-20,2025-08-22,18:00,7:00,2食付き,OTA,ビジネス,通常期
R02530,c1301,217,2,2025-08-20,2025-08-22,16:00,6:00,素泊まり,OTA,登山,通常期
R02531,c0568,215,2,2025-08-20,2025-08-22,19:00,10:00,素泊まり,OTA,遠征,通常期
R02532,c0102,206,2,2025-08-20,2025-08-22,19:00,10:00,朝食付き,OTA,遠征,通常期
R02533,c0521,205,2,2025-08-21,2025-08-22,16:00,10:00,素泊まり,直接,観光,通常期
R02534,c1365,209,2,2025-08-21,2025-08-25,18:00,8:00,2食付き,OTA,ビジネス,通常期
R02535,c1291,207,1,2025-08-21,2025-08-22,17:00,7:00,素泊まり,OTA,登山,通常期
R02536,c0493,201,1,2025-08-21,2025-08-22,16:00,8:00,,OTA,登山,通常期
R02537,c1041,202,2,2025-08-21,2025-08-23,19:00,9:00,素泊まり,直接,遠征,通常期
R02538,c0516,216,2,2025-08-21,2025-08-23,17:00,9:00,素泊まり,OTA,登山,通常期
R02539,c0049,213,2,2025-08-21,2025-08-22,21:00,10:00,素泊まり,直接,その他,通常期
